GID,Date,H,PTSH,V,PTSV,SEAS
222432005,8/31/2002,Air Force,52,Northwestern,3,2002
222502005,9/7/2002,Air Force,38,New Mexico,31,2002
222640025,9/21/2002,California,21,Air Force,23,2002
222710254,9/28/2002,Utah,26,Air Force,30,2002
222782005,10/5/2002,Air Force,48,Navy,7,2002
222852005,10/12/2002,Air Force,52,BYU,9,2002
222922005,10/19/2002,Air Force,14,Notre Dame,21,2002
222992751,10/26/2002,Wyoming,34,Air Force,26,2002
223042005,10/31/2002,Air Force,12,Colorado State,31,2002
223130349,11/9/2002,Army,30,Air Force,49,2002
223202439,11/16/2002,UNLV,32,Air Force,49,2002
223272005,11/23/2002,Air Force,34,San Diego State,38,2002
223650259,12/31/2002,Virginia Tech,20,Air Force,13,2002
222432294,8/31/2002,Iowa,57,Akron,21,2002
222500120,9/7/2002,Maryland,44,Akron,14,2002
222640258,9/21/2002,Virginia,48,Akron,29,2002
222852006,10/12/2002,Akron,49,Liberty,21,2002
223062006,11/2/2002,Akron,34,Marshall,20,2002
223130195,11/9/2002,Ohio,27,Akron,10,2002
223202006,11/16/2002,Akron,21,Buffalo,10,2002
223272309,11/23/2002,Kent State,10,Akron,48,2002
222430333,8/31/2002,Alabama,39,Middle Tennessee,34,2002
222500201,9/7/2002,Oklahoma,37,Alabama,27,2002
222570333,9/14/2002,Alabama,33,North Texas,7,2002
222640333,9/21/2002,Alabama,20,Southern Miss,7,2002
222710008,9/28/2002,Arkansas,12,Alabama,30,2002
222780333,10/5/2002,Alabama,25,Georgia,27,2002
222920333,10/19/2002,Alabama,42,Ole Miss,7,2002
222992633,10/26/2002,Tennessee,14,Alabama,34,2002
223060238,11/2/2002,Vanderbilt,8,Alabama,30,2002
223130333,11/9/2002,Alabama,28,Mississippi St,14,2002
223200099,11/16/2002,LSU,0,Alabama,31,2002
223270333,11/23/2002,Alabama,7,Auburn,17,2002
223340062,11/30/2002,Hawaii,16,Alabama,21,2002
222642010,9/21/2002,Alabama A&M,15,PV A&M,12,2002
222712640,9/28/2002,Texas Southern,14,Alabama A&M,21,2002
