GID,SEAS,Date,WEEK,V,H,PTSV,PTSH,Winner,Loser,home_win,Win_Margin,hGames,vGames,hWinP,vWinP
222340258,2002,8/22/2002,34,Colorado State,Virginia,35,29,Colorado State,Virginia,0,6,0,0,0,0
222350275,2002,8/23/2002,34,Fresno State,Wisconsin,21,23,Wisconsin,Fresno State,1,2,0,0,0,0
222360066,2002,8/24/2002,34,Florida State,Iowa State,38,31,Florida State,Iowa State,0,7,0,0,0,0
222360152,2002,8/24/2002,34,New Mexico,NC State,14,34,NC State,New Mexico,1,20,0,0,0,0
222360158,2002,8/24/2002,34,Arizona State,Nebraska,10,48,Nebraska,Arizona State,1,38,0,0,0,0
222360194,2002,8/24/2002,34,Texas Tech,Ohio State,21,45,Ohio State,Texas Tech,1,24,0,0,0,0
222370259,2002,8/25/2002,35,Arkansas State,Virginia Tech,7,63,Virginia Tech,Arkansas State,1,56,0,0,0,0
222410218,2002,8/29/2002,35,Richmond,Temple,7,34,Temple,Richmond,1,27,0,0,0,0
222410252,2002,8/29/2002,35,Syracuse,BYU,21,42,BYU,Syracuse,1,21,0,0,0,0
222410278,2002,8/29/2002,35,San Diego State,Fresno State,14,16,Fresno State,San Diego State,1,2,1,0,0,0
222412459,2002,8/29/2002,35,Wake Forest,Northern Illinois,41,42,Northern Illinois,Wake Forest,1,1,0,0,0,0
222420202,2002,8/30/2002,35,Oklahoma,Tulsa,37,0,Oklahoma,Tulsa,0,37,0,0,0,0
222430009,2002,8/31/2002,35,E Washington,Arizona State,2,38,Arizona State,E Washington,1,36,1,0,0,0
222430012,2002,8/31/2002,35,N Arizona,Arizona,3,37,Arizona,N Arizona,1,34,0,0,0,0
222430025,2002,8/31/2002,35,Baylor,California,22,70,California,Baylor,1,48,0,0,0,0
222430038,2002,8/31/2002,35,Colorado State,Colorado,19,14,Colorado State,Colorado,0,5,0,1,0,1
222430052,2002,8/31/2002,35,Virginia,Florida State,19,40,Florida State,Virginia,1,21,1,1,1,0
222430057,2002,8/31/2002,35,UAB,Florida,3,51,Florida,UAB,1,48,0,0,0,0
222430059,2002,8/31/2002,35,Vanderbilt,Georgia Tech,3,45,Georgia Tech,Vanderbilt,1,42,0,0,0,0
222430061,2002,8/31/2002,35,Clemson,Georgia,28,31,Georgia,Clemson,1,3,0,0,0,0
222430062,2002,8/31/2002,35,Eastern Illinois,Hawaii,36,61,Hawaii,Eastern Illinois,1,25,0,0,0,0
222430066,2002,8/31/2002,35,Kansas,Iowa State,3,45,Iowa State,Kansas,1,42,1,0,0,0
222430068,2002,8/31/2002,35,Idaho,Boise State,21,38,Boise State,Idaho,1,17,0,0,0,0
222430084,2002,8/31/2002,35,William & Mary,Indiana,17,25,Indiana,William & Mary,1,8,0,0,0,0
222430103,2002,8/31/2002,35,Connecticut,Boston College,16,24,Boston College,Connecticut,1,8,0,0,0,0
222430120,2002,8/31/2002,35,Notre Dame,Maryland,22,0,Notre Dame,Maryland,0,22,0,0,0,0
222430127,2002,8/31/2002,35,Eastern Michigan,Michigan State,7,56,Michigan State,Eastern Michigan,1,49,0,0,0,0
222430130,2002,8/31/2002,35,Washington,Michigan,29,31,Michigan,Washington,1,2,0,0,0,0
222430135,2002,8/31/2002,35,Texas State,Minnesota,0,42,Minnesota,Texas State,1,42,0,0,0,0
222430145,2002,8/31/2002,35,Louisiana-Monroe,Ole Miss,3,31,Ole Miss,Louisiana-Monroe,1,28,0,0,0,0
222430150,2002,8/31/2002,35,East Carolina,Duke,16,23,Duke,East Carolina,1,7,0,0,0,0
222430152,2002,8/31/2002,35,East Tenn St,North Carolina State,0,34,North Carolina State,East Tenn St,1,34,0,0,0,0
222430153,2002,8/31/2002,35,Miami (OH),North Carolina,27,21,Miami (OH),North Carolina,0,6,0,0,0,0
222430158,2002,8/31/2002,35,Troy,Nebraska,16,31,Nebraska,Troy,1,15,1,0,1,0
222430164,2002,8/31/2002,35,Villanova,Rutgers,37,19,Villanova,Rutgers,0,18,0,0,0,0
222430167,2002,8/31/2002,35,Weber State,New Mexico,24,38,New Mexico,Weber State,1,14,1,0,0,0
222430213,2002,8/31/2002,35,UCF,Penn State,24,27,Penn State,UCF,1,3,0,0,0,0
222430227,2002,8/31/2002,35,Bryant,Rhode Island,0,28,Rhode Island,Bryant,1,28,0,0,0,0
222430235,2002,8/31/2002,35,Murray State,Memphis,6,52,Memphis,Murray State,1,46,0,0,0,0
222430242,2002,8/31/2002,35,Houston,Rice,24,10,Houston,Rice,0,14,0,0,0,0
222430245,2002,8/31/2002,35,Louisiana-Lafayette,Texas A&M,7,31,Texas A&M,Louisiana-Lafayette,1,24,0,0,0,0
222430251,2002,8/31/2002,35,North Texas,Texas,0,27,Texas,North Texas,1,27,0,0,0,0
222430265,2002,8/31/2002,35,Nevada,Washington St,7,31,Washington St,Nevada,1,24,0,0,0,0
222430276,2002,8/31/2002,35,Appalachian State,Marshall,17,50,Marshall,Appalachian State,1,33,0,0,0,0
222430277,2002,8/31/2002,35,Chattanooga,West Virginia,7,56,West Virginia,Chattanooga,1,49,0,0,0,0
222430328,2002,8/31/2002,35,Utah,Utah State,23,3,Utah,Utah State,0,20,0,0,0,0
222430333,2002,8/31/2002,35,Middle Tennessee,Alabama,34,39,Alabama,Middle Tennessee,1,5,0,0,0,0
222432005,2002,8/31/2002,35,Northwestern,Air Force,3,52,Air Force,Northwestern,1,49,0,0,0,0
222432032,2002,8/31/2002,35,San Jose State,Arkansas State,33,14,San Jose State,Arkansas State,0,19,1,0,0,0
222432294,2002,8/31/2002,35,Akron,Iowa,21,57,Iowa,Akron,1,36,0,0,0,0
222432306,2002,8/31/2002,35,W Kentucky,Kansas State,3,48,Kansas State,W Kentucky,1,45,0,0,0,0
222432348,2002,8/31/2002,35,Oklahoma State,Louisiana Tech,36,39,Louisiana Tech,Oklahoma State,1,3,0,0,0,0
222432390,2002,8/31/2002,35,Florida A&M,Miami (FL),17,63,Miami (FL),Florida A&M,1,46,0,0,0,0
222432439,2002,8/31/2002,35,Wisconsin,UNLV,27,7,Wisconsin,UNLV,0,20,0,1,0,1
222432483,2002,8/31/2002,35,Mississippi State,Oregon,13,36,Oregon,Mississippi State,1,23,0,0,0,0
222432509,2002,8/31/2002,35,Illinois State,Purdue,10,51,Purdue,Illinois State,1,41,0,0,0,0
222432567,2002,8/31/2002,35,Navy,SMU,38,7,Navy,SMU,0,31,0,0,0,0
222432572,2002,8/31/2002,35,Jackson State,Southern Miss,7,55,Southern Miss,Jackson State,1,48,0,0,0,0
222432579,2002,8/31/2002,35,New Mexico State,South Carolina,24,34,South Carolina,New Mexico State,1,10,0,0,0,0
222432633,2002,8/31/2002,35,Wyoming,Tennessee,7,47,Tennessee,Wyoming,1,40,0,0,0,0
222432638,2002,8/31/2002,35,Sacramento State,UTEP,12,42,UTEP,Sacramento State,1,30,0,0,0,0
222440097,2002,9/1/2002,36,Kentucky,Louisville,22,17,Kentucky,Louisville,0,5,0,0,0,0
222440259,2002,9/1/2002,36,LSU,Virginia Tech,8,26,Virginia Tech,LSU,1,18,1,0,1,0
222450030,2002,9/2/2002,36,Auburn,USC,17,24,USC,Auburn,1,7,0,0,0,0
222452132,2002,9/2/2002,36,TCU,Cincinnati,29,36,Cincinnati,TCU,1,7,0,0,0,0
222480218,2002,9/5/2002,36,Oregon State,Temple,35,3,Oregon State,Temple,0,32,1,0,1,0
222490252,2002,9/6/2002,36,Hawaii,BYU,32,35,BYU,Hawaii,1,3,1,1,1,1
222500002,2002,9/7/2002,36,W Carolina,Auburn,0,56,Auburn,W Carolina,1,56,1,0,0,0
222500005,2002,9/7/2002,36,Troy,UAB,26,27,UAB,Troy,1,1,1,1,0,0
222500008,2002,9/7/2002,36,Boise State,Arkansas,14,41,Arkansas,Boise State,1,27,0,1,0,1
