GID,SEAS,WEEK,V,H,SPRV,PTSV,PTSH,Winner,Loser,HSpread,home_win,Win_Margin,SpreadOff,hGames,vGames,hWinP,vWinP
1,2000,1,SF,ATL,7,28,36,ATL,SF,1,1,8,-1,0,0,0,0
2,2000,1,JAC,CLE,-10,27,7,JAC,CLE,0,0,20,10,0,0,0,0
3,2000,1,PHI,DAL,6,41,14,PHI,DAL,0,0,27,33,0,0,0,0
4,2000,1,NYJ,GB,2.5,20,16,NYJ,GB,0,0,4,6.5,0,0,0,0
5,2000,1,IND,KC,-3,27,14,IND,KC,0,0,13,10,0,0,0,0
6,2000,1,SEA,MIA,3,0,23,MIA,SEA,1,1,23,-20,0,0,0,0
7,2000,1,CHI,MIN,4.5,27,30,MIN,CHI,0,1,3,1.5,0,0,0,0
8,2000,1,TB,NE,-3,21,16,TB,NE,0,0,5,2,0,0,0,0
9,2000,1,DET,NO,1,14,10,DET,NO,0,0,4,5,0,0,0,0
10,2000,1,ARI,NYG,7,16,21,NYG,ARI,0,1,5,2,0,0,0,0
11,2000,1,SD,OAK,7,6,9,OAK,SD,0,1,3,4,0,0,0,0
12,2000,1,BAL,PIT,-3,16,0,BAL,PIT,0,0,16,13,0,0,0,0
13,2000,1,CAR,WAS,10,17,20,WAS,CAR,0,1,3,7,0,0,0,0
14,2000,1,TEN,BUF,-1,13,16,BUF,TEN,1,1,3,-4,0,0,0,0
15,2000,1,DEN,STL,6.5,36,41,STL,DEN,0,1,5,1.5,0,0,0,0
16,2000,2,JAC,BAL,3,36,39,BAL,JAC,0,1,3,0,1,1,1,1
17,2000,2,GB,BUF,6.5,18,27,BUF,GB,1,1,9,-2.5,1,1,1,0
18,2000,2,CLE,CIN,6,24,7,CLE,CIN,0,0,17,23,0,1,0,0
19,2000,2,ATL,DEN,4,14,42,DEN,ATL,1,1,28,-24,1,1,0,1
20,2000,2,WAS,DET,-5.5,10,15,DET,WAS,1,1,5,-10.5,1,1,1,1
21,2000,2,OAK,IND,6.5,38,31,OAK,IND,0,0,7,13.5,1,1,1,1
22,2000,2,MIA,MIN,3,7,13,MIN,MIA,1,1,6,-3,1,1,1,1
23,2000,2,NYG,PHI,3,33,18,NYG,PHI,0,0,15,18,1,1,1,1
24,2000,2,NO,SD,5.5,28,27,NO,SD,0,0,1,6.5,1,1,0,0
25,2000,2,CAR,SF,-3,38,22,CAR,SF,0,0,16,13,1,1,0,0
26,2000,2,STL,SEA,-8,37,34,STL,SEA,1,0,3,-5,1,1,0,1
27,2000,2,CHI,TB,7,0,41,TB,CHI,1,1,41,-34,1,1,1,0
28,2000,2,KC,TEN,9,14,17,TEN,KC,0,1,3,6,1,1,0,0
29,2000,2,DAL,ARI,3,31,32,ARI,DAL,0,1,1,2,1,1,0,0
30,2000,2,NE,NYJ,5,19,20,NYJ,NE,0,1,1,4,1,1,1,0
31,2000,3,ATL,CAR,5.5,15,10,ATL,CAR,0,0,5,10.5,2,2,0.5,0.5
32,2000,3,NYG,CHI,1.5,14,7,NYG,CHI,0,0,7,8.5,2,2,0,1
33,2000,3,PIT,CLE,-2,20,23,CLE,PIT,1,1,3,-5,2,1,0.5,0
34,2000,3,TB,DET,-3,31,10,TB,DET,0,0,21,18,2,2,1,1
35,2000,3,PHI,GB,4,3,6,GB,PHI,0,1,3,1,2,2,0,0.5
36,2000,3,CIN,JAC,13.5,0,13,JAC,CIN,0,1,13,0.5,2,1,0.5,0
37,2000,3,SD,KC,6,10,42,KC,SD,1,1,32,-26,2,2,0,0
38,2000,3,MIN,NE,3,21,13,MIN,NE,0,0,8,11,2,2,0,1
39,2000,3,BUF,NYJ,0,14,27,NYJ,BUF,1,1,13,-13,2,2,1,1
40,2000,3,DEN,OAK,3,33,24,DEN,OAK,0,0,9,12,2,2,1,0.5
41,2000,3,NO,SEA,5.5,10,20,SEA,NO,1,1,10,-4.5,2,2,0,0.5
42,2000,3,SF,STL,17,24,41,STL,SF,0,1,17,0,2,2,1,0
43,2000,3,BAL,MIA,-3,6,19,MIA,BAL,1,1,13,-16,2,2,0.5,1
44,2000,3,DAL,WAS,10.5,27,21,DAL,WAS,0,0,6,16.5,2,2,0.5,0
45,2000,4,GB,ARI,2.5,29,3,GB,ARI,0,0,26,28.5,2,3,0.5,0.3333
46,2000,4,STL,ATL,-7,41,20,STL,ATL,0,0,21,14,3,3,0.6667,1
47,2000,4,CIN,BAL,12.5,0,37,BAL,CIN,1,1,37,-24.5,3,2,0.6667,0
48,2000,4,DET,CHI,2.5,21,14,DET,CHI,0,0,7,9.5,3,3,0,0.6667
49,2000,4,SF,DAL,6.5,41,24,SF,DAL,0,0,17,23.5,3,3,0.3333,0
50,2000,4,KC,DEN,6,23,22,KC,DEN,0,0,1,7,3,3,0.6667,0.3333
51,2000,4,NE,MIA,3,3,10,MIA,NE,1,1,7,-4,3,3,0.6667,0
52,2000,4,PHI,NO,1.5,21,7,PHI,NO,0,0,14,15.5,3,3,0.3333,0.3333
53,2000,4,CLE,OAK,10,10,36,OAK,CLE,1,1,26,-16,3,3,0.6667,0.6667
54,2000,4,TEN,PIT,-7,23,20,TEN,PIT,1,0,3,-4,2,2,0,0.5
55,2000,4,SEA,SD,-2.5,20,12,SEA,SD,0,0,8,5.5,3,3,0,0.3333
56,2000,4,NYJ,TB,7.5,21,17,NYJ,TB,0,0,4,11.5,3,3,1,1
57,2000,4,WAS,NYG,2,16,6,WAS,NYG,0,0,10,12,3,3,1,0.3333
58,2000,4,JAC,IND,3.5,14,43,IND,JAC,1,1,29,-25.5,2,3,0.5,0.6667
59,2000,5,IND,BUF,2.5,18,16,IND,BUF,0,0,2,4.5,3,3,0.6667,0.6667
60,2000,5,DAL,CAR,6.5,16,13,DAL,CAR,0,0,3,9.5,3,4,0.3333,0.25
61,2000,5,MIA,CIN,-7,31,16,MIA,CIN,0,0,15,8,3,4,0,0.75
62,2000,5,BAL,CLE,-8,12,0,BAL,CLE,0,0,12,4,4,4,0.5,0.75
63,2000,5,NE,DEN,8.5,28,19,NE,DEN,0,0,9,17.5,4,4,0.5,0
64,2000,5,MIN,DET,-1.5,31,24,MIN,DET,0,0,7,5.5,4,3,0.75,1
65,2000,5,CHI,GB,6,27,24,CHI,GB,0,0,3,9,4,4,0.5,0
66,2000,5,PIT,JAC,10.5,24,13,PIT,JAC,0,0,11,21.5,4,3,0.5,0
67,2000,5,ARI,SF,4,20,27,SF,ARI,1,1,7,-3,4,3,0.25,0.3333
68,2000,5,SD,STL,17,31,57,STL,SD,1,1,26,-9,4,4,1,0
69,2000,5,NYG,TEN,4,14,28,TEN,NYG,1,1,14,-10,3,4,0.6667,0.75
70,2000,5,TB,WAS,2,17,20,WAS,TB,1,1,3,-1,4,4,0.5,0.75
71,2000,5,ATL,PHI,3,10,38,PHI,ATL,1,1,28,-25,4,4,0.5,0.5
72,2000,5,SEA,KC,4.5,17,24,KC,SEA,1,1,7,-2.5,4,4,0.5,0.5
73,2000,6,CLE,ARI,4.5,21,29,ARI,CLE,1,1,8,-3.5,4,5,0.25,0.4
74,2000,6,NYG,ATL,-1,13,6,NYG,ATL,0,0,7,6,5,5,0.4,0.6
75,2000,6,SEA,CAR,3.5,3,26,CAR,SEA,1,1,23,-19.5,4,5,0.25,0.4
76,2000,6,NO,CHI,3.5,31,10,NO,CHI,0,0,21,24.5,5,4,0.2,0.25
77,2000,6,TEN,CIN,-9.5,23,14,TEN,CIN,1,0,9,-0.5,4,4,0,0.75
78,2000,6,GB,DET,3,24,31,DET,GB,1,1,7,-4,5,5,0.6,0.4
79,2000,6,BUF,MIA,1,13,22,MIA,BUF,1,1,9,-8,5,4,0.8,0.5
80,2000,6,IND,NE,-3.5,16,24,NE,IND,1,1,8,-11.5,5,4,0.2,0.75
81,2000,6,PIT,NYJ,7,20,3,PIT,NYJ,0,0,17,24,4,4,1,0.25
82,2000,6,WAS,PHI,-3,17,14,WAS,PHI,0,0,3,0,5,5,0.6,0.6
83,2000,6,DEN,SD,-7,21,7,DEN,SD,0,0,14,7,5,5,0,0.4
84,2000,6,OAK,SF,-4.5,34,28,OAK,SF,0,0,6,1.5,5,4,0.4,0.75
85,2000,6,BAL,JAC,2.5,15,10,BAL,JAC,0,0,5,7.5,5,5,0.4,0.8
86,2000,6,TB,MIN,2,23,30,MIN,TB,1,1,7,-5,4,5,1,0.6
87,2000,7,PHI,ARI,-2.5,33,14,PHI,ARI,0,0,19,16.5,5,6,0.4,0.5
88,2000,7,SD,BUF,10,24,27,BUF,SD,0,1,3,7,5,6,0.4,0
89,2000,7,CLE,DEN,12.5,10,44,DEN,CLE,1,1,34,-21.5,6,6,0.5,0.3333
90,2000,7,SF,GB,4,28,31,GB,SF,0,1,3,1,6,6,0.3333,0.3333
91,2000,7,OAK,KC,3,20,17,OAK,KC,0,0,3,6,5,5,0.6,0.8
92,2000,7,NYJ,NE,3,34,17,NYJ,NE,0,0,17,20,6,5,0.3333,0.8
93,2000,7,CAR,NO,1.5,6,24,NO,CAR,1,1,18,-16.5,5,5,0.4,0.4
94,2000,7,DAL,NYG,3.5,14,19,NYG,DAL,1,1,5,-1.5,6,5,0.6667,0.4
95,2000,7,CIN,PIT,7.5,0,15,PIT,CIN,1,1,15,-7.5,5,5,0.4,0
96,2000,7,IND,SEA,-6,37,24,IND,SEA,0,0,13,7,6,5,0.3333,0.6
97,2000,7,ATL,STL,17.5,29,45,STL,ATL,0,1,16,1.5,5,6,1,0.3333
98,2000,7,BAL,WAS,3.5,3,10,WAS,BAL,1,1,7,-3.5,6,6,0.6667,0.8333
99,2000,7,MIN,CHI,-7,28,16,MIN,CHI,0,0,12,5,6,5,0.1667,1
100,2000,7,JAC,TEN,7,13,27,TEN,JAC,1,1,14,-7,5,6,0.8,0.3333
101,2000,8,DET,TB,8.5,28,14,DET,TB,0,0,14,22.5,6,6,0.5,0.6667
102,2000,8,NO,ATL,-2.5,21,19,NO,ATL,1,0,2,-0.5,7,6,0.2857,0.5
103,2000,8,TEN,BAL,1,14,6,TEN,BAL,0,0,8,9,7,6,0.7143,0.8333
104,2000,8,SF,CAR,3,16,34,CAR,SF,1,1,18,-15,6,7,0.3333,0.2857
105,2000,8,DEN,CIN,-10.5,21,31,CIN,DEN,1,1,10,-20.5,6,7,0,0.5714
106,2000,8,ARI,DAL,6.5,7,48,DAL,ARI,1,1,41,-34.5,6,6,0.3333,0.3333
107,2000,8,NE,IND,8.5,23,30,IND,NE,0,1,7,1.5,6,7,0.6667,0.2857
108,2000,8,WAS,JAC,-4,35,16,WAS,JAC,0,0,19,15,7,7,0.2857,0.7143
109,2000,8,STL,KC,-7,34,54,KC,STL,1,1,20,-27,6,6,0.5,1
110,2000,8,BUF,MIN,6,27,31,MIN,BUF,0,1,4,2,6,6,1,0.5
111,2000,8,SEA,OAK,7,3,31,OAK,SEA,1,1,28,-21,6,7,0.8333,0.2857
112,2000,8,CHI,PHI,7,9,13,PHI,CHI,0,1,4,3,7,7,0.5714,0.1429
113,2000,8,CLE,PIT,12.5,0,22,PIT,CLE,1,1,22,-9.5,6,7,0.5,0.2857
114,2000,8,MIA,NYJ,3,37,40,NYJ,MIA,0,1,3,0,6,6,0.8333,0.8333
115,2000,9,NO,ARI,-6.5,21,10,NO,ARI,0,0,11,4.5,7,7,0.2857,0.5714
116,2000,9,CAR,ATL,-3,12,13,ATL,CAR,1,1,1,-4,8,7,0.25,0.4286
117,2000,9,PIT,BAL,6,9,6,PIT,BAL,0,0,3,9,8,7,0.625,0.5714
118,2000,9,NYJ,BUF,4.5,20,23,BUF,NYJ,0,1,3,1.5,7,7,0.4286,0.8571
119,2000,9,CIN,CLE,-3,12,3,CIN,CLE,0,0,9,6,8,7,0.25,0.1429
120,2000,9,JAC,DAL,3.5,23,17,JAC,DAL,0,0,6,9.5,7,8,0.4286,0.25
121,2000,9,DET,IND,7,18,30,IND,DET,1,1,12,-5,7,7,0.7143,0.7143
122,2000,9,GB,MIA,3.5,20,28,MIA,GB,1,1,8,-4.5,7,7,0.7143,0.4286
123,2000,9,PHI,NYG,3.5,7,24,NYG,PHI,1,1,17,-13.5,7,8,0.7143,0.625
124,2000,9,STL,SF,-6.5,34,24,STL,SF,0,0,10,3.5,8,7,0.25,0.8571
125,2000,9,KC,SEA,-3.5,24,19,KC,SEA,0,0,5,1.5,8,7,0.25,0.5714
126,2000,9,MIN,TB,3,13,41,TB,MIN,1,1,28,-25,7,7,0.4286,1
127,2000,9,OAK,SD,-7,15,13,OAK,SD,1,0,2,-5,7,7,0,0.8571
128,2000,9,TEN,WAS,3.5,27,21,TEN,WAS,0,0,6,9.5,8,7,0.75,0.8571
129,2000,10,WAS,ARI,-9.5,15,16,ARI,WAS,1,1,1,-10.5,8,9,0.25,0.6667
130,2000,10,TB,ATL,-8.5,27,14,TB,ATL,0,0,13,4.5,9,8,0.3333,0.5
131,2000,10,IND,CHI,-7,24,27,CHI,IND,1,1,3,-10,8,8,0.125,0.75
132,2000,10,BAL,CIN,-6.5,27,7,BAL,CIN,0,0,20,13.5,8,9,0.25,0.5556
133,2000,10,NYG,CLE,-10.5,24,3,NYG,CLE,0,0,21,10.5,9,8,0.2222,0.75
134,2000,10,MIA,DET,2.5,23,8,MIA,DET,0,0,15,17.5,8,8,0.625,0.75
135,2000,10,BUF,NE,2,16,13,BUF,NE,0,0,3,5,8,8,0.25,0.5
136,2000,10,SF,NO,5,15,31,NO,SF,1,1,16,-11,8,9,0.625,0.2222
137,2000,10,DEN,NYJ,2.5,30,23,DEN,NYJ,0,0,7,9.5,8,8,0.75,0.5
138,2000,10,KC,OAK,3,31,49,OAK,KC,1,1,18,-15,8,8,0.875,0.625
139,2000,10,DAL,PHI,3,13,16,PHI,DAL,0,1,3,0,9,8,0.5556,0.375
140,2000,10,SD,SEA,3.5,15,17,SEA,SD,0,1,2,1.5,9,8,0.2222,0
141,2000,10,PIT,TEN,7.5,7,9,TEN,PIT,0,1,2,5.5,8,8,0.875,0.625
142,2000,10,CAR,STL,13.5,27,24,CAR,STL,0,0,3,16.5,8,8,0.875,0.375
143,2000,10,MIN,GB,-3.5,20,26,GB,MIN,1,1,6,-9.5,8,8,0.375,0.875
144,2000,11,CHI,BUF,7,3,20,BUF,CHI,1,1,17,-10,9,9,0.5556,0.2222
145,2000,11,NO,CAR,1.5,20,10,NO,CAR,0,0,10,11.5,9,9,0.4444,0.6667
146,2000,11,NE,CLE,-7,11,19,CLE,NE,1,1,8,-15,10,9,0.2,0.2222
147,2000,11,CIN,DAL,7,6,23,DAL,CIN,1,1,17,-10,9,9,0.3333,0.2222
148,2000,11,ATL,DET,7.5,10,13,DET,ATL,0,1,3,4.5,9,10,0.5556,0.3
149,2000,11,SEA,JAC,8.5,28,21,SEA,JAC,0,0,7,15.5,9,10,0.3333,0.3
150,2000,11,ARI,MIN,13.5,14,31,MIN,ARI,1,1,17,-3.5,9,9,0.7778,0.3333
151,2000,11,STL,NYG,-1.5,38,24,STL,NYG,0,0,14,12.5,9,9,0.7778,0.7778
152,2000,11,PHI,PIT,3.5,26,23,PHI,PIT,0,0,3,6.5,9,10,0.5556,0.6
153,2000,11,MIA,SD,-5.5,17,7,MIA,SD,0,0,10,4.5,9,9,0,0.7778
154,2000,11,KC,SF,-4,7,21,SF,KC,1,1,14,-18,10,9,0.2,0.5556
155,2000,11,GB,TB,9,15,20,TB,GB,0,1,5,4,9,9,0.5556,0.4444
156,2000,11,BAL,TEN,4,24,23,BAL,TEN,0,0,1,5,9,10,0.8889,0.6
157,2000,11,NYJ,IND,6,15,23,IND,NYJ,1,1,8,-2,9,9,0.6667,0.6667
158,2000,11,OAK,DEN,3.5,24,27,DEN,OAK,0,1,3,0.5,9,9,0.5556,0.8889
159,2000,12,DAL,BAL,8,0,27,BAL,DAL,1,1,27,-19,11,10,0.6364,0.4
160,2000,12,TB,CHI,-7,10,13,CHI,TB,1,1,3,-10,10,10,0.2,0.6
161,2000,12,SD,DEN,9,37,38,DEN,SD,0,1,1,8,10,10,0.6,0
162,2000,12,IND,GB,-4.5,24,26,GB,IND,1,1,2,-6.5,10,10,0.4,0.7
163,2000,12,BUF,KC,3,21,17,BUF,KC,0,0,4,7,10,10,0.5,0.6
164,2000,12,NYJ,MIA,3.5,20,3,NYJ,MIA,0,0,17,20.5,10,10,0.8,0.6
165,2000,12,CAR,MIN,9.5,17,31,MIN,CAR,1,1,14,-4.5,10,10,0.8,0.4
166,2000,12,CIN,NE,7,13,16,NE,CIN,0,1,3,4,10,10,0.2,0.2
167,2000,12,OAK,NO,-3,31,22,OAK,NO,0,0,9,6,10,10,0.7,0.8
168,2000,12,DET,NYG,6.5,31,21,DET,NYG,0,0,10,16.5,10,10,0.7,0.6
169,2000,12,ARI,PHI,8,9,34,PHI,ARI,1,1,25,-17,11,10,0.6364,0.3
170,2000,12,ATL,SF,6,6,16,SF,ATL,1,1,10,-4,11,11,0.2727,0.2727
171,2000,12,CLE,TEN,16,10,24,TEN,CLE,0,1,14,2,10,11,0.8,0.2727
172,2000,12,JAC,PIT,3.5,34,24,JAC,PIT,0,0,10,13.5,10,10,0.5,0.3
173,2000,12,WAS,STL,6,33,20,WAS,STL,0,0,13,19,10,10,0.8,0.6
174,2000,13,MIN,DAL,-7.5,27,15,MIN,DAL,0,0,12,4.5,11,11,0.3636,0.8182
175,2000,13,NE,DET,6.5,9,34,DET,NE,1,1,25,-18.5,11,11,0.6364,0.2727
176,2000,13,CLE,BAL,17,7,44,BAL,CLE,1,1,37,-20,12,12,0.6667,0.25
177,2000,13,PIT,CIN,-4.5,48,28,PIT,CIN,0,0,20,15.5,11,11,0.1818,0.4545
178,2000,13,MIA,IND,7,17,14,MIA,IND,0,0,3,10,11,11,0.6364,0.7273
179,2000,13,TEN,JAC,-3,13,16,JAC,TEN,1,1,3,-6,11,11,0.3636,0.8182
180,2000,13,CHI,NYJ,7,10,17,NYJ,CHI,0,1,7,0,11,11,0.6364,0.2727
181,2000,13,ATL,OAK,12,14,41,OAK,ATL,1,1,27,-15,11,12,0.8182,0.25
182,2000,13,KC,SD,-3,16,17,SD,KC,1,1,1,-4,11,11,0,0.4545
183,2000,13,DEN,SEA,-3,38,31,DEN,SEA,0,0,7,4,11,11,0.3636,0.6364
184,2000,13,NO,STL,13.5,31,24,NO,STL,0,0,7,20.5,11,11,0.7273,0.6364
185,2000,13,BUF,TB,3.5,17,31,TB,BUF,1,1,14,-10.5,11,11,0.5455,0.6364
186,2000,13,PHI,WAS,6.5,23,20,PHI,WAS,0,0,3,9.5,11,12,0.6364,0.6667
187,2000,13,NYG,ARI,-7.5,31,7,NYG,ARI,0,0,24,16.5,11,11,0.2727,0.6364
188,2000,13,GB,CAR,-2.5,14,31,CAR,GB,1,1,17,-19.5,11,11,0.3636,0.4545
189,2000,14,DET,MIN,8.5,17,24,MIN,DET,0,1,7,1.5,12,12,0.8333,0.6667
190,2000,14,SEA,ATL,1,30,10,SEA,ATL,0,0,20,21,13,12,0.2308,0.3333
191,2000,14,MIA,BUF,3,33,6,MIA,BUF,0,0,27,30,12,12,0.5833,0.75
192,2000,14,STL,CAR,-8,3,16,CAR,STL,1,1,13,-21,12,12,0.4167,0.6667
193,2000,14,ARI,CIN,4,13,24,CIN,ARI,1,1,11,-7,12,12,0.1667,0.25
